Intercept,Previous,Current,Species,Stage,Previous:Current,Previous:Species,Current:Species,Previous:Stage,Current:Stage,Species:Stage,Previous:Current:Species,Previous:Current:Stage,Previous:Species:Stage,Current:Species:Stage,Previous:Current:Species:Stage
Adh,NA,NA,Ance-4,alpha-Est6,NA,NA,NA,NA,NA,Cap-D3,NA,NA,NA,NA,NA
Adhr,NA,NA,antdh,alpha-Est7,NA,NA,NA,NA,NA,Cat,NA,NA,NA,NA,NA
adp,NA,NA,AnxB9,alpha-PheRS,NA,NA,NA,NA,NA,Ccp84Ab,NA,NA,NA,NA,NA
ADPS,NA,NA,AP-2alpha,alpha4GT1,NA,NA,NA,NA,NA,cDIP,NA,NA,NA,NA,NA
AdSL,NA,NA,AP-2sigma,alphaKap4,NA,NA,NA,NA,NA,Cdlc2,NA,NA,NA,NA,NA
Ady43A,NA,NA,ApepP,alphaTub84D,NA,NA,NA,NA,NA,Cerk,NA,NA,NA,NA,NA
Ag5r2,NA,NA,Apf,aly,NA,NA,NA,NA,NA,Cf2,NA,NA,NA,NA,NA
AGBE,NA,NA,aph-1,Ama,NA,NA,NA,NA,NA,CG10011,NA,NA,NA,NA,NA
ago,NA,NA,Aprt,amd,NA,NA,NA,NA,NA,CG10026,NA,NA,NA,NA,NA
agt,NA,NA,aralar1,Amph,NA,NA,NA,NA,NA,CG10051,NA,NA,NA,NA,NA
Ahcy,NA,NA,Archease,Amy-d,NA,NA,NA,NA,NA,CG10075,NA,NA,NA,NA,NA
AhcyL1,NA,NA,Arf102F,Amy-p,NA,NA,NA,NA,NA,CG10077,NA,NA,NA,NA,NA
AhcyL2,NA,NA,Arf51F,ana2,NA,NA,NA,NA,NA,CG10096,NA,NA,NA,NA,NA
AIMP1,NA,NA,Arf79F,Ance,NA,NA,NA,NA,NA,CG10103,NA,NA,NA,NA,NA
AIMP3,NA,NA,arg,Ance-4,NA,NA,NA,NA,NA,CG10139,NA,NA,NA,NA,NA
Ak6,NA,NA,ArgRS-m,antdh,NA,NA,NA,NA,NA,CG10147,NA,NA,NA,NA,NA
Akap200,NA,NA,arm,Antp,NA,NA,NA,NA,NA,CG10194,NA,NA,NA,NA,NA
Akh,NA,NA,Arp5,AnxB11,NA,NA,NA,NA,NA,CG10205,NA,NA,NA,NA,NA
AkhR,NA,NA,Arpc1,AnxB9,NA,NA,NA,NA,NA,CG10211,NA,NA,NA,NA,NA
akirin,NA,NA,Arpc4,ap,NA,NA,NA,NA,NA,CG10307,NA,NA,NA,NA,NA
al,NA,NA,Arpc5,AP-2sigma,NA,NA,NA,NA,NA,CG10311,NA,NA,NA,NA,NA
AlaRS,NA,NA,Arr1,APC7,NA,NA,NA,NA,NA,CG10332,NA,NA,NA,NA,NA
AlaRS-m,NA,NA,Arv1,Apf,NA,NA,NA,NA,NA,CG10424,NA,NA,NA,NA,NA
Alas,NA,NA,arx,aph-1,NA,NA,NA,NA,NA,CG10463,NA,NA,NA,NA,NA
alc,NA,NA,Ask1,Apoltp,NA,NA,NA,NA,NA,CG10467,NA,NA,NA,NA,NA
Ald,NA,NA,AsnRS-m,apt,NA,NA,NA,NA,NA,CG10469,NA,NA,NA,NA,NA
Aldh,NA,NA,asrij,AQP,NA,NA,NA,NA,NA,CG10470,NA,NA,NA,NA,NA
Aldh-III,NA,NA,Atac2,Archease,NA,NA,NA,NA,NA,CG10494,NA,NA,NA,NA,NA
Alg-2,NA,NA,Ate1,armi,NA,NA,NA,NA,NA,CG10513,NA,NA,NA,NA,NA
alien,NA,NA,Atf-2,Arp53D,NA,NA,NA,NA,NA,CG10561,NA,NA,NA,NA,NA
ALiX,NA,NA,Atg14,Arpc1,NA,NA,NA,NA,NA,CG10570,NA,NA,NA,NA,NA
Alk,NA,NA,Atg2,Arpc5,NA,NA,NA,NA,NA,CG10576,NA,NA,NA,NA,NA
Alp1,NA,NA,Atg3,arr,NA,NA,NA,NA,NA,CG10581,NA,NA,NA,NA,NA
Alp4,NA,NA,Atg4a,Arr1,NA,NA,NA,NA,NA,CG10639,NA,NA,NA,NA,NA
alph,NA,NA,Atg8a,Art2,NA,NA,NA,NA,NA,CG10650,NA,NA,NA,NA,NA
alpha-catenin-related,NA,NA,Atg8b,Art8,NA,NA,NA,NA,NA,CG10761,NA,NA,NA,NA,NA
alpha-Est1,NA,NA,Atg9,arx,NA,NA,NA,NA,NA,CG10801,NA,NA,NA,NA,NA
alpha-Est10,NA,NA,ATPCL,ase,NA,NA,NA,NA,NA,CG10863,NA,NA,NA,NA,NA
alpha-Est2,NA,NA,ATPsynC,asf1,NA,NA,NA,NA,NA,CG10874,NA,NA,NA,NA,NA
alpha-Est3,NA,NA,ATPsyndelta,AsnRS,NA,NA,NA,NA,NA,CG10911,NA,NA,NA,NA,NA
alpha-Est5,NA,NA,ATPsynF,asrij,NA,NA,NA,NA,NA,CG10916,NA,NA,NA,NA,NA
alpha-Est6,NA,NA,ATPsynG,ast,NA,NA,NA,NA,NA,CG10933,NA,NA,NA,NA,NA
alpha-Est7,NA,NA,ATPsyngamma,AstA-R2,NA,NA,NA,NA,NA,CG10962,NA,NA,NA,NA,NA
alpha-Est8,NA,NA,AttC,AstC-R2,NA,NA,NA,NA,NA,CG11076,NA,NA,NA,NA,NA
alpha-Est9,NA,NA,aust,Atg3,NA,NA,NA,NA,NA,CG11077,NA,NA,NA,NA,NA
alpha-Man-Ia,NA,NA,Aven,Atg4a,NA,NA,NA,NA,NA,CG11147,NA,NA,NA,NA,NA
alpha-Man-Ib,NA,NA,awd,Atg7,NA,NA,NA,NA,NA,CG11149,NA,NA,NA,NA,NA
alpha-PheRS,NA,NA,axo,Atg8a,NA,NA,NA,NA,NA,CG11155,NA,NA,NA,NA,NA
alpha-Spec,NA,NA,Axs,Atg8b,NA,NA,NA,NA,NA,CG11178,NA,NA,NA,NA,NA
alpha4GT1,NA,NA,bab1,Atg9,NA,NA,NA,NA,NA,CG11208,NA,NA,NA,NA,NA
alpha4GT2,NA,NA,bab2,ATPsynC,NA,NA,NA,NA,NA,CG11210,NA,NA,NA,NA,NA
alphaKap4,NA,NA,babos,ATPsynCF6L,NA,NA,NA,NA,NA,CG11257,NA,NA,NA,NA,NA
alphaSnap,NA,NA,baf,ATPsyndelta,NA,NA,NA,NA,NA,CG11340,NA,NA,NA,NA,NA
alphaTub84D,NA,NA,bbc,ATPsynF,NA,NA,NA,NA,NA,CG11342,NA,NA,NA,NA,NA
alrm,NA,NA,BBS8,ATPsynG,NA,NA,NA,NA,NA,CG11353,NA,NA,NA,NA,NA
Als2,NA,NA,bc10,ATPsyngamma,NA,NA,NA,NA,NA,CG11362,NA,NA,NA,NA,NA
aly,NA,NA,bdg,ATPsynGL,NA,NA,NA,NA,NA,CG1137,NA,NA,NA,NA,NA
amd,NA,NA,be,Atx-1,NA,NA,NA,NA,NA,CG11373,NA,NA,NA,NA,NA
amon,NA,NA,beat-IIa,aub,NA,NA,NA,NA,NA,CG11409,NA,NA,NA,NA,NA
amos,NA,NA,beat-IIb,Aven,NA,NA,NA,NA,NA,CG1142,NA,NA,NA,NA,NA
Amph,NA,NA,ben,awd,NA,NA,NA,NA,NA,CG1143,NA,NA,NA,NA,NA
AMPKalpha,NA,NA,Bet1,B-H1,NA,NA,NA,NA,NA,CG11459,NA,NA,NA,NA,NA
Amun,NA,NA,Bet5,B-H2,NA,NA,NA,NA,NA,CG11470,NA,NA,NA,NA,NA
Amy-d,NA,NA,beta-Man,bab2,NA,NA,NA,NA,NA,CG11498,NA,NA,NA,NA,NA
Amy-p,NA,NA,beta'COP,babos,NA,NA,NA,NA,NA,CG11539,NA,NA,NA,NA,NA
Amyrel,NA,NA,beta4GalNAcTB,bam,NA,NA,NA,NA,NA,CG11555,NA,NA,NA,NA,NA
ana,NA,NA,betaggt-II,bark,NA,NA,NA,NA,NA,CG11563,NA,NA,NA,NA,NA
ana2,NA,NA,BG642312,bbc,NA,NA,NA,NA,NA,CG11674,NA,NA,NA,NA,NA
ana3,NA,NA,Bgb,BBS8,NA,NA,NA,NA,NA,CG11788,NA,NA,NA,NA,NA
Ance,NA,NA,BHD,bcd,NA,NA,NA,NA,NA,CG11837,NA,NA,NA,NA,NA
Ance-4,NA,NA,bic,bchs,NA,NA,NA,NA,NA,CG11852,NA,NA,NA,NA,NA
Ance-5,NA,NA,bigmax,bcn92,NA,NA,NA,NA,NA,CG11854,NA,NA,NA,NA,NA
antdh,NA,NA,Bili,bdg,NA,NA,NA,NA,NA,CG11889,NA,NA,NA,NA,NA
AnxB11,NA,NA,Bka,bdl,NA,NA,NA,NA,NA,CG11892,NA,NA,NA,NA,NA
AnxB9,NA,NA,Blos1,beat-Ia,NA,NA,NA,NA,NA,CG11980,NA,NA,NA,NA,NA
ap,NA,NA,Blos3,beat-Ic,NA,NA,NA,NA,NA,CG12081,NA,NA,NA,NA,NA
AP-1gamma,NA,NA,blw,Bet1,NA,NA,NA,NA,NA,CG12099,NA,NA,NA,NA,NA
AP-2alpha,NA,NA,bou,beta'COP,NA,NA,NA,NA,NA,CG12163,NA,NA,NA,NA,NA
AP-2sigma,NA,NA,brk,beta4GalNAcTA,NA,NA,NA,NA,NA,CG12173,NA,NA,NA,NA,NA
Apc,NA,NA,Brms1,beta4GalT7,NA,NA,NA,NA,NA,CG12177,NA,NA,NA,NA,NA
APC10,NA,NA,bsk,betaNACtes6,NA,NA,NA,NA,NA,CG12182,NA,NA,NA,NA,NA
APC4,NA,NA,BtbVII,bgm,NA,NA,NA,NA,NA,CG12194,NA,NA,NA,NA,NA
APC7,NA,NA,Btnd,bib,NA,NA,NA,NA,NA,CG12209,NA,NA,NA,NA,NA
ApepP,NA,NA,btv,bic,NA,NA,NA,NA,NA,CG12239,NA,NA,NA,NA,NA
Apf,NA,NA,bug,BicC,NA,NA,NA,NA,NA,CG12288,NA,NA,NA,NA,NA
aph-1,NA,NA,BuGZ,bigmax,NA,NA,NA,NA,NA,CG12344,NA,NA,NA,NA,NA
aPKC,NA,NA,bwa,bin3,NA,NA,NA,NA,NA,CG12484,NA,NA,NA,NA,NA
apolpp,NA,NA,c12.1,Bka,NA,NA,NA,NA,NA,CG1271,NA,NA,NA,NA,NA
Apoltp,NA,NA,C901,blw,NA,NA,NA,NA,NA,CG12766,NA,NA,NA,NA,NA
Appl,NA,NA,CaBP1,boil,NA,NA,NA,NA,NA,CG12769,NA,NA,NA,NA,NA
Aprt,NA,NA,Cad96Cb,bonsai,NA,NA,NA,NA,NA,CG12824,NA,NA,NA,NA,NA
apt,NA,NA,CadN2,bor,NA,NA,NA,NA,NA,CG12883,NA,NA,NA,NA,NA
AQP,NA,NA,Cadps,bora,NA,NA,NA,NA,NA,CG12902,NA,NA,NA,NA,NA
aqrs,NA,NA,cag,bou,NA,NA,NA,NA,NA,CG12990,NA,NA,NA,NA,NA
aralar1,NA,NA,CAH1,bowl,NA,NA,NA,NA,NA,CG13008,NA,NA,NA,NA,NA
Archease,NA,NA,caix,Br140,NA,NA,NA,NA,NA,CG13010,NA,NA,NA,NA,NA
Arf102F,NA,NA,CalpA,brk,NA,NA,NA,NA,NA,CG13101,NA,NA,NA,NA,NA
Arf51F,NA,NA,Cam,brv1,NA,NA,NA,NA,NA,CG13137,NA,NA,NA,NA,NA
Arf79F,NA,NA,cana,bsf,NA,NA,NA,NA,NA,CG13154,NA,NA,NA,NA,NA
ArfGAP3,NA,NA,CanB,bsk,NA,NA,NA,NA,NA,CG13157,NA,NA,NA,NA,NA
Arfrp1,NA,NA,Cand1,BTBD9,NA,NA,NA,NA,NA,CG13177,NA,NA,NA,NA,NA
arg,NA,NA,Cap-D3,Btnd,NA,NA,NA,NA,NA,CG13319,NA,NA,NA,NA,NA
ArgRS-m,NA,NA,Caper,bwa,NA,NA,NA,NA,NA,CG13323,NA,NA,NA,NA,NA
ari-2,NA,NA,capt,bys,NA,NA,NA,NA,NA,CG13330,NA,NA,NA,NA,NA
arm,NA,NA,Cat,c-cup,NA,NA,NA,NA,NA,CG13334,NA,NA,NA,NA,NA
armi,NA,NA,cathD,c(2)M,NA,NA,NA,NA,NA,CG13359,NA,NA,NA,NA,NA
Arp2,NA,NA,Catsup,Ca-alpha1D,NA,NA,NA,NA,NA,CG13386,NA,NA,NA,NA,NA
Arp5,NA,NA,Cbp53E,Ca-alpha1T,NA,NA,NA,NA,NA,CG13392,NA,NA,NA,NA,NA
Arp53D,NA,NA,cbs,CaBP1,NA,NA,NA,NA,NA,CG13403,NA,NA,NA,NA,NA
Arpc1,NA,NA,CCDC53,Cad96Ca,NA,NA,NA,NA,NA,CG13426,NA,NA,NA,NA,NA
Arpc4,NA,NA,CCHa1-R,CadN,NA,NA,NA,NA,NA,CG13510,NA,NA,NA,NA,NA
Arpc5,NA,NA,Ccp84Ab,Caf1-180,NA,NA,NA,NA,NA,CG13562,NA,NA,NA,NA,NA
arr,NA,NA,Ccs,caix,NA,NA,NA,NA,NA,CG13563,NA,NA,NA,NA,NA
Arr1,NA,NA,Cct2,cal1,NA,NA,NA,NA,NA,CG13654,NA,NA,NA,NA,NA
Art2,NA,NA,Ccz1,Calx,NA,NA,NA,NA,NA,CG13692,NA,NA,NA,NA,NA
Art8,NA,NA,CDase,Cam,NA,NA,NA,NA,NA,CG13693,NA,NA,NA,NA,NA
Arv1,NA,NA,Cdc27,CanA-14F,NA,NA,NA,NA,NA,CG13741,NA,NA,NA,NA,NA
arx,NA,NA,Cdc2rk,CanB,NA,NA,NA,NA,NA,CG13751,NA,NA,NA,NA,NA
ase,NA,NA,Cdc37,Cap-D3,NA,NA,NA,NA,NA,CG13759,NA,NA,NA,NA,NA
asf1,NA,NA,cDIP,capt,NA,NA,NA,NA,NA,CG13868,NA,NA,NA,NA,NA
ash1,NA,NA,Cdk5alpha,capu,NA,NA,NA,NA,NA,CG13877,NA,NA,NA,NA,NA
Ask1,NA,NA,Cdlc2,Cat,NA,NA,NA,NA,NA,CG13884,NA,NA,NA,NA,NA
AsnRS,NA,NA,CenG1A,cathD,NA,NA,NA,NA,NA,CG13893,NA,NA,NA,NA,NA
AsnRS-m,NA,NA,Cep89,cato,NA,NA,NA,NA,NA,CG13905,NA,NA,NA,NA,NA
Asph,NA,NA,cer,Catsup,NA,NA,NA,NA,NA,CG13924,NA,NA,NA,NA,NA
ASPP,NA,NA,CG10026,Cbp53E,NA,NA,NA,NA,NA,CG13928,NA,NA,NA,NA,NA
AspRS,NA,NA,CG10031,Cct1,NA,NA,NA,NA,NA,CG13937,NA,NA,NA,NA,NA
AspRS-m,NA,NA,CG10051,Cctgamma,NA,NA,NA,NA,NA,CG13972,NA,NA,NA,NA,NA
asrij,NA,NA,CG10053,Cda4,NA,NA,NA,NA,NA,CG14062,NA,NA,NA,NA,NA
ast,NA,NA,CG10062,Cda9,NA,NA,NA,NA,NA,CG14089,NA,NA,NA,NA,NA
AstC-R1,NA,NA,CG10063,CDC45L,NA,NA,NA,NA,NA,CG14100,NA,NA,NA,NA,NA
AstC-R2,NA,NA,CG10086,Cdk4,NA,NA,NA,NA,NA,CG14291,NA,NA,NA,NA,NA
Asx,NA,NA,CG10103,Cdk7,NA,NA,NA,NA,NA,CG14309,NA,NA,NA,NA,NA
Atac2,NA,NA,CG10131,Cdlc2,NA,NA,NA,NA,NA,CG14326,NA,NA,NA,NA,NA
Atac3,NA,NA,CG10132,cdm,NA,NA,NA,NA,NA,CG1434,NA,NA,NA,NA,NA
Ate1,NA,NA,CG10137,cer,NA,NA,NA,NA,NA,CG14340,NA,NA,NA,NA,NA
Atet,NA,NA,CG10147,Cfp1,NA,NA,NA,NA,NA,CG14346,NA,NA,NA,NA,NA
Atf-2,NA,NA,CG10166,CG10011,NA,NA,NA,NA,NA,CG14406,NA,NA,NA,NA,NA
Atg14,NA,NA,CG10189,CG10019,NA,NA,NA,NA,NA,CG14410,NA,NA,NA,NA,NA
Atg16,NA,NA,CG10194,CG10026,NA,NA,NA,NA,NA,CG14527,NA,NA,NA,NA,NA
Atg17,NA,NA,CG10195,CG10029,NA,NA,NA,NA,NA,CG14607,NA,NA,NA,NA,NA
Atg2,NA,NA,CG10205,CG10031,NA,NA,NA,NA,NA,CG14630,NA,NA,NA,NA,NA
Atg3,NA,NA,CG10211,CG10050,NA,NA,NA,NA,NA,CG14642,NA,NA,NA,NA,NA
Atg4a,NA,NA,CG10226,CG10051,NA,NA,NA,NA,NA,CG14763,NA,NA,NA,NA,NA
Atg5,NA,NA,CG10262,CG10068,NA,NA,NA,NA,NA,CG14780,NA,NA,NA,NA,NA
Atg7,NA,NA,CG10311,CG10075,NA,NA,NA,NA,NA,CG14798,NA,NA,NA,NA,NA
Atg8a,NA,NA,CG10332,CG10098,NA,NA,NA,NA,NA,CG14835,NA,NA,NA,NA,NA
Atg8b,NA,NA,CG10333,CG10103,NA,NA,NA,NA,NA,CG14892,NA,NA,NA,NA,NA
Atg9,NA,NA,CG10337,CG10104,NA,NA,NA,NA,NA,CG14997,NA,NA,NA,NA,NA
atk,NA,NA,CG10338,CG10131,NA,NA,NA,NA,NA,CG15098,NA,NA,NA,NA,NA
atms,NA,NA,CG10340,CG10165,NA,NA,NA,NA,NA,CG15155,NA,NA,NA,NA,NA
ATP7,NA,NA,CG10343,CG10194,NA,NA,NA,NA,NA,CG15210,NA,NA,NA,NA,NA
Atpalpha,NA,NA,CG10347,CG10195,NA,NA,NA,NA,NA,CG15227,NA,NA,NA,NA,NA
ATPCL,NA,NA,CG10352,CG10202,NA,NA,NA,NA,NA,CG15237,NA,NA,NA,NA,NA
ATPsynC,NA,NA,CG10362,CG10205,NA,NA,NA,NA,NA,CG15252,NA,NA,NA,NA,NA
ATPsynCF6L,NA,NA,CG10395,CG10211,NA,NA,NA,NA,NA,CG15263,NA,NA,NA,NA,NA
ATPsyndelta,NA,NA,CG10405,CG10226,NA,NA,NA,NA,NA,CG15279,NA,NA,NA,NA,NA
ATPsynF,NA,NA,CG10424,CG10262,NA,NA,NA,NA,NA,CG15312,NA,NA,NA,NA,NA
ATPsynG,NA,NA,CG10428,CG10283,NA,NA,NA,NA,NA,CG15330,NA,NA,NA,NA,NA
ATPsyngamma,NA,NA,CG10431,CG10286,NA,NA,NA,NA,NA,CG15337,NA,NA,NA,NA,NA
ATPsynGL,NA,NA,CG10433,CG10307,NA,NA,NA,NA,NA,CG15347,NA,NA,NA,NA,NA
Atu,NA,NA,CG10459,CG10311,NA,NA,NA,NA,NA,CG15356,NA,NA,NA,NA,NA
Atx-1,NA,NA,CG10465,CG10317,NA,NA,NA,NA,NA,CG15358,NA,NA,NA,NA,NA
Atxn7,NA,NA,CG10467,CG10332,NA,NA,NA,NA,NA,CG15385,NA,NA,NA,NA,NA
aub,NA,NA,CG10469,CG10340,NA,NA,NA,NA,NA,CG15394,NA,NA,NA,NA,NA
aurB,NA,NA,CG10470,CG10341,NA,NA,NA,NA,NA,CG15414,NA,NA,NA,NA,NA
aux,NA,NA,CG10479,CG10345,NA,NA,NA,NA,NA,CG1545,NA,NA,NA,NA,NA
ave,NA,NA,CG10483,CG10359,NA,NA,NA,NA,NA,CG15526,NA,NA,NA,NA,NA
Aven,NA,NA,CG10492,CG10405,NA,NA,NA,NA,NA,CG15528,NA,NA,NA,NA,NA
awd,NA,NA,CG10513,CG10433,NA,NA,NA,NA,NA,CG15545,NA,NA,NA,NA,NA
Axn,NA,NA,CG10527,CG10462,NA,NA,NA,NA,NA,CG15547,NA,NA,NA,NA,NA
