Intercept,Previous,Current,Species,Stage,Previous:Current,Previous:Species,Current:Species,Previous:Stage,Current:Stage,Species:Stage,Previous:Current:Species,Previous:Current:Stage,Previous:Species:Stage,Current:Species:Stage,Previous:Current:Species:Stage
Acp32CD,fd96Cb,CG6613,AGBE,Arpc4,Pof,NA,Fibp,CG9072,CG30432,baf,NA,Ih,NA,CG7166,sisA
Acp33A,fit,CG7685,ago,Arpc5,Rpb5,NA,fz3,COX8,CG3121,Bap111,NA,mRpL4,NA,CG7708,Smyd5
Acp36DE,ft,CG7747,Ahcy,Art2,RpL29,NA,Glo1,Cpr49Aa,CG31709,Bap60,NA,niki,NA,CG7747,usp
Acp53C14a,Gmer,CG7763,AhcyL2,ase,RpS15Aa,NA,Kaz1-ORFB,d,CG31988,bdg,NA,opa,NA,cmpy,NA
Acp53C14b,Ih,CG9147,AIMP1,Atg3,sut4,NA,mTerf3,Drsl6,CG32568,beat-IIIb,NA,p-cup,NA,Cpr49Ac,NA
Acp53C14c,niki,Cortactin,Akap200,Atg7,xmas-1,NA,par-6,Ets65A,CG32718,Best2,NA,Pof,NA,Cyp4d2,NA
Acp53Ea,Or63a,Cp7Fa,AlaRS,Atg9,NA,NA,PHGPx,Ih,CG33640,beta-Spec,NA,retn,NA,DNApol-epsilon58,NA
Acp65Aa,Pex6,Der-1,AlaRS-m,ATPsynCF6L,NA,NA,Pof,nompA,CG33934,betaggt-II,NA,RpL29,NA,gd,NA
Acp76A,pk,Det,Alas,ATPsynG,NA,NA,robo1,pk,CG34124,betaNACtes6,NA,RpS15Aa,NA,He,NA
Acph-1,RYa-R,dUTPase,Aldh-III,ATPsyngamma,NA,NA,RpS15Aa,pon,CG34176,betaTub56D,NA,sisA,NA,Imp,NA
Acsl,NA,fd96Cb,alien,ATPsynGL,NA,NA,sca,ppk25,CG42658,bic,NA,sut4,NA,ox,NA
Actn3,NA,fln,ALiX,AttD,NA,NA,Smyd5,PPP1R15,CG5103,boca,NA,Vha100-3,NA,p-cup,NA
ACXE,NA,Gadd45,alph,bam,NA,NA,Vps2,sisA,CG5290,boil,NA,Vha68-3,NA,PHGPx,NA
Acyp,NA,GEFmeso,alpha-Est1,bcd,NA,NA,YT521-B,ubl,CG6550,BubR1,NA,NA,NA,Pof,NA
Adat1,NA,GlcAT-I,alpha-Est3,bdg,NA,NA,NA,usp,CG7024,Bx42,NA,NA,NA,Rpb5,NA
ade2,NA,Glo1,alpha-Est5,bdl,NA,NA,NA,NA,CG9702,c12.1,NA,NA,NA,sgll,NA
ade3,NA,godzilla,alpha-Est7,beat-Ia,NA,NA,NA,NA,corolla,cal1,NA,NA,NA,sisA,NA
ade5,NA,HDAC3,alpha-Est8,betaNACtes6,NA,NA,NA,NA,Cpr49Aa,Caper,NA,NA,NA,Smyd5,NA
Adgf-E,NA,hui,alpha-Est9,betaTub56D,NA,NA,NA,NA,Glo1,Catsup,NA,NA,NA,TwdlX,NA
Adh,NA,Ih,alpha-Man-Ia,BicC,NA,NA,NA,NA,He,Ccs,NA,NA,NA,usp,NA
Adhr,NA,Ir21a,alpha-Man-Ib,blanks,NA,NA,NA,NA,Ih,CD98hc,NA,NA,NA,NA,NA
AdSL,NA,Or63a,alpha-Spec,blw,NA,NA,NA,NA,Ir21a,Cdlc2,NA,NA,NA,NA,NA
Ady43A,NA,PHGPx,alpha4GT1,boil,NA,NA,NA,NA,Or63a,CecB,NA,NA,NA,NA,NA
AGBE,NA,PI31,alphaSnap,bora,NA,NA,NA,NA,otu,CG10096,NA,NA,NA,NA,NA
ago,NA,Pof,Amy-p,bowl,NA,NA,NA,NA,p-cup,CG10103,NA,NA,NA,NA,NA
Ahcy,NA,Prosalpha1,Ance,bwa,NA,NA,NA,NA,PHGPx,CG10194,NA,NA,NA,NA,NA
AhcyL2,NA,Prosalpha3,AnxB9,c-cup,NA,NA,NA,NA,Pof,CG10347,NA,NA,NA,NA,NA
AIMP1,NA,Rcd1,Apc,c(2)M,NA,NA,NA,NA,ppk25,CG10425,NA,NA,NA,NA,NA
Akap200,NA,Reep1,ApepP,cal1,NA,NA,NA,NA,PPYR1,CG10459,NA,NA,NA,NA,NA
akirin,NA,RfC38,aph-1,cana,NA,NA,NA,NA,retn,CG10477,NA,NA,NA,NA,NA
al,NA,Rpb5,Apoltp,Cat,NA,NA,NA,NA,Rpb5,CG10561,NA,NA,NA,NA,NA
AlaRS,NA,RpS15Aa,Aprt,cathD,NA,NA,NA,NA,RpS15Aa,CG10623,NA,NA,NA,NA,NA
AlaRS-m,NA,rtet,AQP,Ccp84Ad,NA,NA,NA,NA,RYa-R,CG10761,NA,NA,NA,NA,NA
Alas,NA,tara,aralar1,Ccs,NA,NA,NA,NA,sisA,CG1077,NA,NA,NA,NA,NA
Ald,NA,TyrRII,Archease,Cda9,NA,NA,NA,NA,Smyd4-3,CG10801,NA,NA,NA,NA,NA
Aldh,NA,unc-5,Arf79F,Cdlc2,NA,NA,NA,NA,swif,CG10802,NA,NA,NA,NA,NA
Aldh-III,NA,VhaAC39-1,ArfGAP3,CecB,NA,NA,NA,NA,TwdlX,CG10803,NA,NA,NA,NA,NA
Alg-2,NA,YT521-B,arg,cep290,NA,NA,NA,NA,Vha68-3,CG10863,NA,NA,NA,NA,NA
Alh,NA,NA,Arp2,cer,NA,NA,NA,NA,NA,CG10916,NA,NA,NA,NA,NA
alien,NA,NA,Arpc4,CG10064,NA,NA,NA,NA,NA,CG10924,NA,NA,NA,NA,NA
ALiX,NA,NA,Arpc5,CG10096,NA,NA,NA,NA,NA,CG10932,NA,NA,NA,NA,NA
Alp1,NA,NA,arr,CG10131,NA,NA,NA,NA,NA,CG1105,NA,NA,NA,NA,NA
alph,NA,NA,Ask1,CG10194,NA,NA,NA,NA,NA,CG11068,NA,NA,NA,NA,NA
alpha-Est1,NA,NA,AsnRS,CG10202,NA,NA,NA,NA,NA,CG11073,NA,NA,NA,NA,NA
alpha-Est3,NA,NA,AspRS,CG10211,NA,NA,NA,NA,NA,CG11106,NA,NA,NA,NA,NA
alpha-Est6,NA,NA,asrij,CG10317,NA,NA,NA,NA,NA,CG11149,NA,NA,NA,NA,NA
alpha-Est7,NA,NA,ast,CG10321,NA,NA,NA,NA,NA,CG11158,NA,NA,NA,NA,NA
alpha-Est8,NA,NA,Ate1,CG10345,NA,NA,NA,NA,NA,CG11190,NA,NA,NA,NA,NA
alpha-Est9,NA,NA,Atg10,CG10424,NA,NA,NA,NA,NA,CG11353,NA,NA,NA,NA,NA
alpha-Man-Ia,NA,NA,Atg2,CG10469,NA,NA,NA,NA,NA,CG11369,NA,NA,NA,NA,NA
alpha-Man-Ib,NA,NA,Atg3,CG10477,NA,NA,NA,NA,NA,CG11373,NA,NA,NA,NA,NA
alpha-Spec,NA,NA,Atg4a,CG10527,NA,NA,NA,NA,NA,CG11379,NA,NA,NA,NA,NA
alpha4GT1,NA,NA,Atg7,CG10561,NA,NA,NA,NA,NA,CG11381,NA,NA,NA,NA,NA
alpha4GT2,NA,NA,Atg9,CG10565,NA,NA,NA,NA,NA,CG11412,NA,NA,NA,NA,NA
alphaKap4,NA,NA,atms,CG10623,NA,NA,NA,NA,NA,CG11444,NA,NA,NA,NA,NA
alphaSnap,NA,NA,ATPCL,CG10650,NA,NA,NA,NA,NA,CG11585,NA,NA,NA,NA,NA
alphaTub84D,NA,NA,ATPsynF,CG10734,NA,NA,NA,NA,NA,CG11699,NA,NA,NA,NA,NA
aly,NA,NA,ATPsynG,CG10750,NA,NA,NA,NA,NA,CG11752,NA,NA,NA,NA,NA
Ama,NA,NA,ATPsyngamma,CG10761,NA,NA,NA,NA,NA,CG11912,NA,NA,NA,NA,NA
amos,NA,NA,Atxn7,CG10764,NA,NA,NA,NA,NA,CG12075,NA,NA,NA,NA,NA
Ance,NA,NA,aurB,CG1077,NA,NA,NA,NA,NA,CG12111,NA,NA,NA,NA,NA
Ance-2,NA,NA,Aven,CG10799,NA,NA,NA,NA,NA,CG12116,NA,NA,NA,NA,NA
Ance-4,NA,NA,awd,CG10801,NA,NA,NA,NA,NA,CG12123,NA,NA,NA,NA,NA
antr,NA,NA,Axn,CG10822,NA,NA,NA,NA,NA,CG12321,NA,NA,NA,NA,NA
AnxB9,NA,NA,babos,CG10839,NA,NA,NA,NA,NA,CG12333,NA,NA,NA,NA,NA
ApepP,NA,NA,baf,CG10862,NA,NA,NA,NA,NA,CG12464,NA,NA,NA,NA,NA
aph-1,NA,NA,ball,CG10869,NA,NA,NA,NA,NA,CG12498,NA,NA,NA,NA,NA
Apoltp,NA,NA,Bap111,CG10912,NA,NA,NA,NA,NA,CG12535,NA,NA,NA,NA,NA
Aprt,NA,NA,Bap55,CG10916,NA,NA,NA,NA,NA,CG12539,NA,NA,NA,NA,NA
AQP,NA,NA,bark,CG10919,NA,NA,NA,NA,NA,CG12576,NA,NA,NA,NA,NA
aqrs,NA,NA,bbc,CG10920,NA,NA,NA,NA,NA,CG12637,NA,NA,NA,NA,NA
aralar1,NA,NA,bdg,CG10924,NA,NA,NA,NA,NA,CG12661,NA,NA,NA,NA,NA
Archease,NA,NA,BEAF-32,CG10933,NA,NA,NA,NA,NA,CG12682,NA,NA,NA,NA,NA
Arf79F,NA,NA,Best2,CG10950,NA,NA,NA,NA,NA,CG12684,NA,NA,NA,NA,NA
ArfGAP3,NA,NA,Bet5,CG11018,NA,NA,NA,NA,NA,CG12692,NA,NA,NA,NA,NA
arg,NA,NA,betaggt-I,CG11044,NA,NA,NA,NA,NA,CG12693,NA,NA,NA,NA,NA
armi,NA,NA,betaggt-II,CG1105,NA,NA,NA,NA,NA,CG12698,NA,NA,NA,NA,NA
Arp2,NA,NA,betaTub56D,CG11060,NA,NA,NA,NA,NA,CG12717,NA,NA,NA,NA,NA
Arp5,NA,NA,bic,CG11068,NA,NA,NA,NA,NA,CG12729,NA,NA,NA,NA,NA
Arp53D,NA,NA,bin3,CG11076,NA,NA,NA,NA,NA,CG12730,NA,NA,NA,NA,NA
Arpc1,NA,NA,blw,CG11077,NA,NA,NA,NA,NA,CG1275,NA,NA,NA,NA,NA
Arpc4,NA,NA,boca,CG11099,NA,NA,NA,NA,NA,CG12990,NA,NA,NA,NA,NA
Arpc5,NA,NA,BOD1,CG11106,NA,NA,NA,NA,NA,CG12992,NA,NA,NA,NA,NA
Art2,NA,NA,bora,CG11211,NA,NA,NA,NA,NA,CG12998,NA,NA,NA,NA,NA
Arv1,NA,NA,borr,CG11241,NA,NA,NA,NA,NA,CG13008,NA,NA,NA,NA,NA
ase,NA,NA,Brf,CG11275,NA,NA,NA,NA,NA,CG13014,NA,NA,NA,NA,NA
asf1,NA,NA,Brms1,CG11298,NA,NA,NA,NA,NA,CG13021,NA,NA,NA,NA,NA
ash1,NA,NA,Bruce,CG11321,NA,NA,NA,NA,NA,CG13113,NA,NA,NA,NA,NA
Ask1,NA,NA,bsf,CG11327,NA,NA,NA,NA,NA,CG13114,NA,NA,NA,NA,NA
AsnRS,NA,NA,btz,CG11345,NA,NA,NA,NA,NA,CG13155,NA,NA,NA,NA,NA
Asph,NA,NA,BubR1,CG11349,NA,NA,NA,NA,NA,CG13186,NA,NA,NA,NA,NA
AspRS,NA,NA,bug,CG11369,NA,NA,NA,NA,NA,CG13217,NA,NA,NA,NA,NA
asrij,NA,NA,BuGZ,CG11373,NA,NA,NA,NA,NA,CG13245,NA,NA,NA,NA,NA
ast,NA,NA,bwa,CG11379,NA,NA,NA,NA,NA,CG13284,NA,NA,NA,NA,NA
AstC-R1,NA,NA,Bx42,CG1138,NA,NA,NA,NA,NA,CG13299,NA,NA,NA,NA,NA
AstCC,NA,NA,c12.1,CG11381,NA,NA,NA,NA,NA,CG13526,NA,NA,NA,NA,NA
Ate1,NA,NA,ca,CG11391,NA,NA,NA,NA,NA,CG1354,NA,NA,NA,NA,NA
Atet,NA,NA,CaBP1,CG11400,NA,NA,NA,NA,NA,CG13658,NA,NA,NA,NA,NA
Atg10,NA,NA,cact,CG11459,NA,NA,NA,NA,NA,CG13693,NA,NA,NA,NA,NA
Atg2,NA,NA,Cad99C,CG11474,NA,NA,NA,NA,NA,CG1387,NA,NA,NA,NA,NA
Atg3,NA,NA,CadN,CG11584,NA,NA,NA,NA,NA,CG14182,NA,NA,NA,NA,NA
Atg7,NA,NA,Cadps,CG11585,NA,NA,NA,NA,NA,CG14247,NA,NA,NA,NA,NA
Atg8b,NA,NA,CalpA,CG11594,NA,NA,NA,NA,NA,CG1434,NA,NA,NA,NA,NA
Atg9,NA,NA,Cand1,CG11619,NA,NA,NA,NA,NA,CG14407,NA,NA,NA,NA,NA
atk,NA,NA,Cap-D2,CG11674,NA,NA,NA,NA,NA,CG14411,NA,NA,NA,NA,NA
Atpalpha,NA,NA,Cap-G,CG11796,NA,NA,NA,NA,NA,CG14628,NA,NA,NA,NA,NA
ATPCL,NA,NA,Caper,CG11816,NA,NA,NA,NA,NA,CG14629,NA,NA,NA,NA,NA
ATPsynC,NA,NA,Capr,CG11854,NA,NA,NA,NA,NA,CG1468,NA,NA,NA,NA,NA
ATPsynCF6L,NA,NA,capt,CG11865,NA,NA,NA,NA,NA,CG14787,NA,NA,NA,NA,NA
ATPsynF,NA,NA,cathD,CG11912,NA,NA,NA,NA,NA,CG14818,NA,NA,NA,NA,NA
ATPsynG,NA,NA,Catsup,CG11929,NA,NA,NA,NA,NA,CG14882,NA,NA,NA,NA,NA
ATPsyngamma,NA,NA,cbs,CG12009,NA,NA,NA,NA,NA,CG14891,NA,NA,NA,NA,NA
ATPsynGL,NA,NA,cbt,CG12035,NA,NA,NA,NA,NA,CG14893,NA,NA,NA,NA,NA
AttD,NA,NA,CCDC53,CG12069,NA,NA,NA,NA,NA,CG14894,NA,NA,NA,NA,NA
Atxn7,NA,NA,Ccs,CG12078,NA,NA,NA,NA,NA,CG14989,NA,NA,NA,NA,NA
aurB,NA,NA,Cctgamma,CG12111,NA,NA,NA,NA,NA,CG14997,NA,NA,NA,NA,NA
awd,NA,NA,CD98hc,CG12116,NA,NA,NA,NA,NA,CG15014,NA,NA,NA,NA,NA
b,NA,NA,Cda4,CG12126,NA,NA,NA,NA,NA,CG15034,NA,NA,NA,NA,NA
b6,NA,NA,cdc14,CG1218,NA,NA,NA,NA,NA,CG15152,NA,NA,NA,NA,NA
babos,NA,NA,Cdc37,CG12299,NA,NA,NA,NA,NA,CG15196,NA,NA,NA,NA,NA
baf,NA,NA,cDIP,CG12321,NA,NA,NA,NA,NA,CG15198,NA,NA,NA,NA,NA
ball,NA,NA,Cdk4,CG12333,NA,NA,NA,NA,NA,CG15200,NA,NA,NA,NA,NA
bap,NA,NA,Cdk5,CG12374,NA,NA,NA,NA,NA,CG15208,NA,NA,NA,NA,NA
Bap111,NA,NA,Cdk5alpha,CG1239,NA,NA,NA,NA,NA,CG15209,NA,NA,NA,NA,NA
Bap55,NA,NA,cdm,CG12395,NA,NA,NA,NA,NA,CG15212,NA,NA,NA,NA,NA
Bap60,NA,NA,ced-6,CG12448,NA,NA,NA,NA,NA,CG15283,NA,NA,NA,NA,NA
bbc,NA,NA,CenG1A,CG12464,NA,NA,NA,NA,NA,CG15296,NA,NA,NA,NA,NA
BBS1,NA,NA,cer,CG12477,NA,NA,NA,NA,NA,CG15330,NA,NA,NA,NA,NA
BBS4,NA,NA,Cerk,CG12481,NA,NA,NA,NA,NA,CG15337,NA,NA,NA,NA,NA
BBS8,NA,NA,CG10075,CG12493,NA,NA,NA,NA,NA,CG15347,NA,NA,NA,NA,NA
bcn92,NA,NA,CG10096,CG12496,NA,NA,NA,NA,NA,CG15356,NA,NA,NA,NA,NA
bdg,NA,NA,CG10098,CG12498,NA,NA,NA,NA,NA,CG15368,NA,NA,NA,NA,NA
BEAF-32,NA,NA,CG10103,CG12535,NA,NA,NA,NA,NA,CG15375,NA,NA,NA,NA,NA
beat-Ia,NA,NA,CG10132,CG12539,NA,NA,NA,NA,NA,CG15425,NA,NA,NA,NA,NA
beat-IIIa,NA,NA,CG10139,CG12540,NA,NA,NA,NA,NA,CG15472,NA,NA,NA,NA,NA
beat-VI,NA,NA,CG10166,CG12620,NA,NA,NA,NA,NA,CG15543,NA,NA,NA,NA,NA
Best2,NA,NA,CG10189,CG12637,NA,NA,NA,NA,NA,CG15572,NA,NA,NA,NA,NA
Bet5,NA,NA,CG10194,CG12661,NA,NA,NA,NA,NA,CG15578,NA,NA,NA,NA,NA
beta-Spec,NA,NA,CG10211,CG12674,NA,NA,NA,NA,NA,CG15605,NA,NA,NA,NA,NA
beta4GalNAcTA,NA,NA,CG10257,CG12680,NA,NA,NA,NA,NA,CG1561,NA,NA,NA,NA,NA
betaggt-I,NA,NA,CG10286,CG12682,NA,NA,NA,NA,NA,CG15719,NA,NA,NA,NA,NA
betaggt-II,NA,NA,CG10306,CG12684,NA,NA,NA,NA,NA,CG15734,NA,NA,NA,NA,NA
betaNACtes6,NA,NA,CG10333,CG12692,NA,NA,NA,NA,NA,CG15764,NA,NA,NA,NA,NA
betaTub56D,NA,NA,CG10337,CG12693,NA,NA,NA,NA,NA,CG15784,NA,NA,NA,NA,NA
bic,NA,NA,CG10347,CG12698,NA,NA,NA,NA,NA,CG15865,NA,NA,NA,NA,NA
bif,NA,NA,CG10353,CG12717,NA,NA,NA,NA,NA,CG15873,NA,NA,NA,NA,NA
bin3,NA,NA,CG10413,CG12729,NA,NA,NA,NA,NA,CG15891,NA,NA,NA,NA,NA
blanks,NA,NA,CG10417,CG1273,NA,NA,NA,NA,NA,CG15892,NA,NA,NA,NA,NA
blw,NA,NA,CG10420,CG12730,NA,NA,NA,NA,NA,CG1628,NA,NA,NA,NA,NA
bnk,NA,NA,CG10424,CG12746,NA,NA,NA,NA,NA,CG1657,NA,NA,NA,NA,NA
boca,NA,NA,CG10425,CG1275,NA,NA,NA,NA,NA,CG16721,NA,NA,NA,NA,NA
BOD1,NA,NA,CG10444,CG12782,NA,NA,NA,NA,NA,CG16739,NA,NA,NA,NA,NA
boil,NA,NA,CG10445,CG12783,NA,NA,NA,NA,NA,CG1677,NA,NA,NA,NA,NA
bora,NA,NA,CG10467,CG12831,NA,NA,NA,NA,NA,CG16781,NA,NA,NA,NA,NA
borr,NA,NA,CG10477,CG12857,NA,NA,NA,NA,NA,CG16782,NA,NA,NA,NA,NA
bowl,NA,NA,CG10492,CG12860,NA,NA,NA,NA,NA,CG1690,NA,NA,NA,NA,NA
brat,NA,NA,CG10527,CG12861,NA,NA,NA,NA,NA,CG16903,NA,NA,NA,NA,NA
Brf,NA,NA,CG10561,CG12866,NA,NA,NA,NA,NA,CG16941,NA,NA,NA,NA,NA
Bro,NA,NA,CG10576,CG1287,NA,NA,NA,NA,NA,CG16947,NA,NA,NA,NA,NA
bru3,NA,NA,CG10602,CG12877,NA,NA,NA,NA,NA,CG17221,NA,NA,NA,NA,NA
brv1,NA,NA,CG10621,CG1288,NA,NA,NA,NA,NA,CG17242,NA,NA,NA,NA,NA
bsf,NA,NA,CG10623,CG12911,NA,NA,NA,NA,NA,CG17283,NA,NA,NA,NA,NA
Bsg,NA,NA,CG10650,CG12942,NA,NA,NA,NA,NA,CG17323,NA,NA,NA,NA,NA
Bsg25A,NA,NA,CG1077,CG12963,NA,NA,NA,NA,NA,CG17333,NA,NA,NA,NA,NA
Btk29A,NA,NA,CG10799,CG12983,NA,NA,NA,NA,NA,CG1737,NA,NA,NA,NA,NA
btv,NA,NA,CG10802,CG12992,NA,NA,NA,NA,NA,CG17580,NA,NA,NA,NA,NA
btz,NA,NA,CG10863,CG12998,NA,NA,NA,NA,NA,CG1789,NA,NA,NA,NA,NA
Bub3,NA,NA,CG10874,CG13008,NA,NA,NA,NA,NA,CG17982,NA,NA,NA,NA,NA
bug,NA,NA,CG10889,CG13010,NA,NA,NA,NA,NA,CG18088,NA,NA,NA,NA,NA
bwa,NA,NA,CG10912,CG13021,NA,NA,NA,NA,NA,CG18135,NA,NA,NA,NA,NA
Bx42,NA,NA,CG10914,CG13078,NA,NA,NA,NA,NA,CG1824,NA,NA,NA,NA,NA
c-cup,NA,NA,CG10916,CG13083,NA,NA,NA,NA,NA,CG18268,NA,NA,NA,NA,NA
c12.1,NA,NA,CG10924,CG13084,NA,NA,NA,NA,NA,CG18302,NA,NA,NA,NA,NA
C15,NA,NA,CG10932,CG13110,NA,NA,NA,NA,NA,CG18472,NA,NA,NA,NA,NA
C901,NA,NA,CG10939,CG13113,NA,NA,NA,NA,NA,CG18508,NA,NA,NA,NA,NA
ca,NA,NA,CG11000,CG13114,NA,NA,NA,NA,NA,CG18600,NA,NA,NA,NA,NA
CaBP1,NA,NA,CG11007,CG13127,NA,NA,NA,NA,NA,CG18606,NA,NA,NA,NA,NA
cact,NA,NA,CG1105,CG1315,NA,NA,NA,NA,NA,CG1896,NA,NA,NA,NA,NA
Cad96Cb,NA,NA,CG11070,CG13164,NA,NA,NA,NA,NA,CG1924,NA,NA,NA,NA,NA
CadN,NA,NA,CG11073,CG13168,NA,NA,NA,NA,NA,CG1946,NA,NA,NA,NA,NA
Cadps,NA,NA,CG11076,CG13186,NA,NA,NA,NA,NA,CG1983,NA,NA,NA,NA,NA
cal1,NA,NA,CG11077,CG13216,NA,NA,NA,NA,NA,CG1999,NA,NA,NA,NA,NA
CalpA,NA,NA,CG11085,CG13217,NA,NA,NA,NA,NA,CG2004,NA,NA,NA,NA,NA
cana,NA,NA,CG11123,CG13223,NA,NA,NA,NA,NA,CG2010,NA,NA,NA,NA,NA
Cand1,NA,NA,CG11137,CG13243,NA,NA,NA,NA,NA,CG2200,NA,NA,NA,NA,NA
Cap-D2,NA,NA,CG11158,CG13245,NA,NA,NA,NA,NA,CG2209,NA,NA,NA,NA,NA
Cap-D3,NA,NA,CG11168,CG13299,NA,NA,NA,NA,NA,CG2528,NA,NA,NA,NA,NA
Cap-G,NA,NA,CG11200,CG13300,NA,NA,NA,NA,NA,CG2556,NA,NA,NA,NA,NA
Caper,NA,NA,CG11208,CG13321,NA,NA,NA,NA,NA,CG2574,NA,NA,NA,NA,NA
Capr,NA,NA,CG11221,CG13326,NA,NA,NA,NA,NA,CG2577,NA,NA,NA,NA,NA
capt,NA,NA,CG11241,CG13334,NA,NA,NA,NA,NA,CG2854,NA,NA,NA,NA,NA
capu,NA,NA,CG11275,CG13385,NA,NA,NA,NA,NA,CG2901,NA,NA,NA,NA,NA
cas,NA,NA,CG11319,CG1340,NA,NA,NA,NA,NA,CG2972,NA,NA,NA,NA,NA
casp,NA,NA,CG11357,CG13423,NA,NA,NA,NA,NA,CG2974,NA,NA,NA,NA,NA
Cat,NA,NA,CG11381,CG13442,NA,NA,NA,NA,NA,CG2982,NA,NA,NA,NA,NA
cathD,NA,NA,CG1143,CG13501,NA,NA,NA,NA,NA,CG2990,NA,NA,NA,NA,NA
cato,NA,NA,CG11453,CG13526,NA,NA,NA,NA,NA,CG30048,NA,NA,NA,NA,NA
Catsup,NA,NA,CG11454,CG13544,NA,NA,NA,NA,NA,CG3008,NA,NA,NA,NA,NA
cbs,NA,NA,CG11474,CG13551,NA,NA,NA,NA,NA,CG30098,NA,NA,NA,NA,NA
cbt,NA,NA,CG11504,CG13558,NA,NA,NA,NA,NA,CG30108,NA,NA,NA,NA,NA
CCAP-R,NA,NA,CG11555,CG13564,NA,NA,NA,NA,NA,CG3011,NA,NA,NA,NA,NA
CCDC53,NA,NA,CG11593,CG13658,NA,NA,NA,NA,NA,CG30392,NA,NA,NA,NA,NA
CCHa2-R,NA,NA,CG11594,CG13693,NA,NA,NA,NA,NA,CG30394,NA,NA,NA,NA,NA
Ccp84Ab,NA,NA,CG1161,CG13700,NA,NA,NA,NA,NA,CG30432,NA,NA,NA,NA,NA
Ccp84Ac,NA,NA,CG11665,CG13741,NA,NA,NA,NA,NA,CG30460,NA,NA,NA,NA,NA
Ccp84Ad,NA,NA,CG11699,CG13747,NA,NA,NA,NA,NA,CG30485,NA,NA,NA,NA,NA
