Intercept,Previous,Current,Species,Stage,Previous:Current,Previous:Species,Current:Species,Previous:Stage,Current:Stage,Species:Stage,Previous:Current:Species,Previous:Current:Stage,Previous:Species:Stage,Current:Species:Stage,Previous:Current:Species:Stage
Acp53C14b,CG10352,Bap60,AdSL,Alp1,CG16704,CG14275,CG12170,CG12540,CG11381,alpha-Man-Ib,CG13587,CG13217,CG1311,CG11585,CG12496
Acp53C14c,CG10384,Bem46,Ady43A,alpha-Est3,CG16791,CG14321,CG12236,CG1275,CG11474,alpha-Man-Ic,CG13771,CG13245,CG13155,CG11586,CG12535
Acp53Ea,CG10405,betaTub56D,Ag5r2,alpha-Est5,CG17266,CG14440,CG1265,CG12848,CG11585,alpha4GT1,CG13895,CG13287,CG13217,CG11857,CG12576
Acp65Aa,CG10834,BHD,AGBE,alpha-Est6,CG17732,CG14544,CG13000,CG12909,CG11593,alphaTub84D,CG14007,CG13430,CG13228,CG11920,CG12682
Acp76A,CG10853,bnk,ago,alpha4GT1,CG17737,CG14613,CG13108,CG12998,CG11929,aly,CG14440,CG13506,CG13245,CG12012,CG12730
Acph-1,CG11037,boca,Ahcy,alpha4GT2,CG17919,CG14661,CG13148,CG13216,CG12018,AMPKalpha,CG14528,CG13700,CG13252,CG12018,CG12902
Acsl,CG11112,bora,AhcyL2,alphaKap4,CG18155,CG15082,CG13163,CG13217,CG12112,Amun,CG14544,CG13771,CG13430,CG12182,CG12992
Actn3,CG11113,brk,AIMP1,alphaTub84D,CG18231,CG15169,CG13299,CG13245,CG12126,Ance,CG14806,CG13901,CG13541,CG12309,CG13148
ACXD,CG11211,C901,Akap200,aly,CG18568,CG15368,CG13516,CG13430,CG12182,Ance-2,CG14990,CG13933,CG13869,CG12535,CG13155
ACXE,CG11356,CalpA,akirin,Ama,CG2663,CG15390,CG13708,CG13506,CG12299,antdh,CG15120,CG1421,CG14237,CG1265,CG13430
Acyp,CG11498,capt,AlaRS,amos,CG2678,CG15414,CG13877,CG13579,CG12391,AnxB9,CG15169,CG14237,CG14309,CG12682,CG13541
Adat1,CG11581,CCDC53,AlaRS-m,Ance,CG2837,CG15536,CG14187,CG13743,CG12395,Apc,CG15368,CG14589,CG14650,CG12684,CG13692
ade2,CG11635,Ccp84Ac,Alas,Ance-2,CG2887,CG15547,CG14253,CG13771,CG12448,APC7,CG15547,CG14960,CG14662,CG12692,CG13771
ade3,CG11828,Ccp84Ae,Aldh,Ance-4,CG2901,CG15629,CG14275,CG13998,CG12464,AQP,CG15653,CG14990,CG14880,CG12730,CG13895
ade5,CG12011,Ccp84Af,Aldh-III,AnxB9,CG2909,CG15653,CG14327,CG1421,CG12470,aralar1,CG15908,CG15084,CG14893,CG13148,CG13933
Adgf-E,CG12014,ced-6,alien,APC7,CG2921,CG15735,CG14478,CG14237,CG12496,Arf79F,CG1628,CG15107,CG1492,CG13164,CG14050
Adh,CG12111,CG10029,ALiX,Apf,CG30033,CG17260,CG14483,CG1428,CG12498,ArfGAP3,CG1665,CG15136,CG14967,CG13198,CG14589
Adhr,CG12133,CG10053,alph,Apoltp,CG30046,CG17343,CG14806,CG14410,CG12535,arg,CG17266,CG15200,CG15082,CG13217,CG14806
AdSL,CG12164,CG10195,alpha-Est1,AQP,CG30054,CG17919,CG14893,CG14459,CG12637,Arp2,CG17343,CG15262,CG15283,CG13228,CG14893
Ady43A,CG12278,CG10306,alpha-Est3,aqrs,CG30105,CG17996,CG14903,CG14478,CG1265,Arpc4,CG17572,CG15283,CG15368,CG13245,CG15120
AGBE,CG12333,CG10333,alpha-Est5,armi,CG30287,CG18171,CG14990,CG14591,CG12661,Arpc5,CG17834,CG15293,CG15432,CG13385,CG15168
ago,CG12538,CG10352,alpha-Est7,Arp2,CG30338,CG18231,CG15117,CG14960,CG12682,Arr1,CG17919,CG15296,CG15865,CG1354,CG15169
Ahcy,CG12607,CG10405,alpha-Est8,Arp53D,CG30375,CG18281,CG15120,CG14990,CG12684,arx,CG18171,CG15330,CG16713,CG13551,CG15185
AhcyL2,CG12723,CG10444,alpha-Est9,Arpc1,CG31028,CG18538,CG15368,CG15082,CG12693,ase,CG18231,CG15368,CG16716,CG13658,CG15200
AIMP1,CG12828,CG10477,alpha-Man-Ia,Arpc4,CG31191,CG2034,CG15387,CG15084,CG12860,AsnRS,CG18258,CG1537,CG17078,CG13692,CG15283
Akap200,CG12836,CG10527,alpha-Man-Ib,Arpc5,CG31235,CG2663,CG15529,CG15107,CG12934,AspRS,CG18568,CG15514,CG17283,CG1387,CG15336
akirin,CG12914,CG10623,alpha-Spec,arr,CG31357,CG2909,CG15530,CG15283,CG12942,ast,CG18598,CG15526,CG17333,CG14483,CG15368
al,CG12920,CG1077,alpha4GT1,Art2,CG31928,CG2941,CG15547,CG15296,CG13008,Atf3,CG18869,CG1561,CG18171,CG14540,CG15425
AlaRS,CG12971,CG10834,alpha4GT2,ase,CG32645,CG30046,CG15880,CG15333,CG13113,Atg10,CG2100,CG15764,CG18231,CG14591,CG15526
AlaRS-m,CG12995,CG10853,alphaSnap,Asph,CG32801,CG30054,CG15908,CG15526,CG13114,Atg2,CG2663,CG15873,CG18268,CG14806,CG15547
Alas,CG12998,CG11037,alphaTub84D,AstA-R2,CG33223,CG30091,CG1663,CG1561,CG13198,Atg3,CG2909,CG15919,CG18606,CG14818,CG15628
Ald,CG13159,CG11070,amos,AstCC,CG33465,CG30281,CG17266,CG15873,CG13216,Atg4a,CG2921,CG1603,CG2909,CG14893,CG15861
Aldh,CG13193,CG11113,Amy-d,Atet,CG33514,CG30283,CG17385,CG15877,CG13217,Atg7,CG30046,CG16782,CG2941,CG14960,CG15873
Aldh-III,CG13331,CG11211,Amy-p,Atg3,CG33640,CG30287,CG17650,CG16986,CG13231,Atg8a,CG30083,CG16986,CG30091,CG15034,CG15919
Alg-2,CG13361,CG11356,Ance,Atg7,CG33679,CG30440,CG17732,CG17078,CG13245,atk,CG30088,CG17145,CG30273,CG15185,CG16986
Alh,CG13362,CG11381,Ance-4,Atg9,CG33775,CG31324,CG17982,CG17145,CG13385,ATPCL,CG30091,CG17266,CG30287,CG15262,CG17266
alien,CG13427,CG11470,Antp,ATPsynCF6L,CG34040,CG31547,CG1943,CG17169,CG13442,ATPsynF,CG30281,CG17283,CG30338,CG15330,CG17737
ALiX,CG13438,CG11504,AnxB9,ATPsynF,CG34176,CG31908,CG2698,CG17283,CG13501,ATPsynG,CG30283,CG17344,CG30355,CG15336,CG17919
Alp1,CG13500,CG11581,ap,ATPsynG,CG34196,CG32645,CG2841,CG17287,CG13526,ATPsyngamma,CG30287,CG17477,CG31021,CG15368,CG18171
Alp4,CG13557,CG11635,AP-2sigma,ATPsyngamma,CG34205,CG32647,CG2921,CG17386,CG13544,ATPsynGL,CG30356,CG17737,CG31213,CG15375,CG18231
alph,CG13579,CG11790,Apc,ATPsynGL,CG3513,CG32695,CG2941,CG17636,CG13771,AttD,CG30497,CG17919,CG31820,CG15387,CG18666
alpha-Est1,CG13590,CG11828,APC10,AttD,CG3719,CG33775,CG30049,CG17737,CG1387,aub,CG31097,CG17944,CG3198,CG15425,CG2217
alpha-Est2,CG13653,CG11839,ApepP,b,CG3906,CG34010,CG30054,CG17883,CG13912,aurB,CG31191,CG18130,CG32641,CG15529,CG2453
alpha-Est3,CG13670,CG12006,aph-1,B-H2,CG40813,CG34011,CG30083,CG17919,CG13989,awd,CG31324,CG18155,CG32645,CG15547,CG2528
alpha-Est5,CG13712,CG12011,Apoltp,baf,CG4133,CG34056,CG30091,CG17944,CG14103,baf,CG31547,CG18231,CG32819,CG15578,CG2712
alpha-Est6,CG13713,CG12129,Aprt,bam,CG4194,CG34205,CG30096,CG18223,CG1421,ball,CG3257,CG18446,CG33003,CG15764,CG2794
alpha-Est7,CG13743,CG12164,AQP,Bap55,CG42675,CG34291,CG30108,CG18231,CG14294,Bap111,CG32834,CG18568,CG33287,CG15865,CG30054
alpha-Est8,CG13771,CG1218,aqrs,bark,CG42823,CG3663,CG30281,CG18268,CG14478,Bap60,CG3339,CG18585,CG34133,CG15892,CG30088
alpha-Est9,CG13876,CG12278,aralar1,bcd,CG43187,CG3769,CG30340,CG18327,CG14516,BCL7-like,CG33474,CG18605,CG34176,CG1663,CG30091
alpha-Man-Ia,CG13930,CG12299,Archease,bdg,CG43400,CG42259,CG30394,CG18585,CG14589,bdg,CG33640,CG18666,CG34291,CG16782,CG30273
alpha-Man-Ib,CG13983,CG12309,Arf79F,bdl,CG4603,CG42269,CG30440,CG18606,CG14609,beat-IIIb,CG33775,CG1902,CG3663,CG16836,CG30281
alpha-Spec,CG13998,CG12391,ArfGAP3,beat-Ia,CG4741,CG42306,CG30497,CG1902,CG14628,Best2,CG34124,CG1924,CG3769,CG17098,CG30355
alpha4GT1,CG14052,CG12538,arg,Bem46,CG5111,CG42371,CG31324,CG2046,CG14644,beta-Spec,CG34134,CG2217,CG4017,CG17242,CG30375
alpha4GT2,CG14069,CG12607,armi,betaNACtes6,CG5246,CG42553,CG31547,CG2528,CG14668,betaggt-I,CG34176,CG2901,CG4045,CG17266,CG30432
alphaKap4,CG14237,CG1265,Arp2,betaTub56D,CG5254,CG4313,CG31908,CG2540,CG14770,betaggt-II,CG34205,CG2909,CG42269,CG17283,CG31055
alphaSnap,CG14273,CG12723,Arp5,bib,CG5569,CG4793,CG32259,CG2909,CG14780,betaNACtes6,CG34291,CG2982,CG42306,CG17333,CG31324
alphaTub84D,CG14291,CG12828,Arpc1,BicC,CG5674,CG5022,CG32267,CG30033,CG14882,betaTub56D,CG34325,CG30048,CG4259,CG17385,CG31547
aly,CG14317,CG12836,Arpc4,bin3,CG6324,CG5084,CG3257,CG30054,CG14891,BG642312,CG3556,CG30054,CG42684,CG17660,CG31709
Ama,CG14323,CG12914,Arpc5,blanks,CG6550,CG5118,CG32700,CG30273,CG14960,bic,CG3634,CG30195,CG4313,CG1789,CG31803
amos,CG14325,CG12920,arr,blw,CG7466,CG5254,CG32816,CG30338,CG14990,boca,CG4194,CG30273,CG4406,CG17982,CG31820
AMPKalpha,CG14326,CG12934,Arv1,bnk,CG7601,CG5773,CG32834,CG3104,CG15034,boil,CG42246,CG30275,CG4660,CG18171,CG31933
Amy-p,CG14416,CG12942,ash1,boil,CG7646,CG5846,CG33056,CG31050,CG15096,borr,CG42269,CG30338,CG4793,CG1824,CG31988
Ance,CG14420,CG12971,Ask1,bonsai,CG7685,CG5987,CG33465,CG31091,CG15141,brn,CG42488,CG30375,CG4951,CG18269,CG32298
Ance-2,CG14427,CG12994,AsnRS,bora,CG8046,CG6201,CG33632,CG31262,CG15200,bsf,CG42553,CG30432,CG5255,CG18508,CG3257
Ance-4,CG14451,CG12995,AsnRS-m,bowl,CG8078,CG6403,CG33640,CG31267,CG15262,btv,CG42823,CG3121,CG5267,CG18609,CG32590
antr,CG14492,CG13113,Asph,Br140,CG9095,CG6550,CG34011,CG31496,CG15283,BubR1,CG4313,CG31267,CG5290,CG1924,CG32679
AnxB9,CG14568,CG13114,ASPP,bsf,CG9629,CG6839,CG34045,CG31550,CG15296,Bx42,CG43400,CG31357,CG5646,CG2217,CG32712
APC7,CG14626,CG13159,AspRS,Btk29A,CG9643,CG7139,CG34205,CG31803,CG15330,bys,CG4594,CG31690,CG5707,CG2528,CG3285
ApepP,CG14645,CG13193,asrij,bwa,CG9752,CG7142,CG34253,CG31988,CG15336,c11.1,CG4793,CG31709,CG5793,CG2974,CG33287
Apf,CG14752,CG13204,ast,c-cup,Chi,CG7166,CG34291,CG32196,CG15356,c12.1,CG5022,CG31820,CG5987,CG30054,CG33465
aph-1,CG14760,CG13229,Ate1,c(2)M,Cortactin,CG7509,CG34433,CG32271,CG15375,ca,CG5447,CG31928,CG6067,CG30083,CG33775
Apoltp,CG14780,CG13231,Atet,C15,Cpr49Ac,CG8046,CG3499,CG32645,CG15387,CaBP1,CG6324,CG31933,CG6852,CG30192,CG34124
Aprt,CG14913,CG13283,Atg10,C901,Cpr76Bc,CG8353,CG3502,CG32694,CG15425,cact,CG6329,CG31988,CG6903,CG30281,CG34133
AQP,CG14958,CG13299,Atg2,CadN,crn,CG8501,CG3703,CG32712,CG15472,CadN2,CG6412,CG32298,CG6927,CG30340,CG34134
aqrs,CG14990,CG13361,Atg3,caix,Cyp28c1,CG8617,CG3719,CG32846,CG15514,cal1,CG6550,CG32590,CG7166,CG30355,CG34176
aralar1,CG15073,CG13362,Atg4a,cal1,Cyp318a1,CG9368,CG3906,CG33287,CG15570,CalpA,CG6839,CG32679,CG7202,CG30432,CG3420
Archease,CG15082,CG13427,Atg7,CalpA,d,CG9411,CG3955,CG33775,CG15572,Cam,CG7166,CG32712,CG7386,CG31055,CG34205
Arf79F,CG15083,CG13438,Atg9,cana,E23,CG9413,CG42233,CG3407,CG15578,Cand1,CG7492,CG33287,CG7946,CG31235,CG34265
ArfGAP3,CG15116,CG13500,atms,Cap-D3,EcR,CG9452,CG42246,CG34116,CG1561,Cap-D2,CG7708,CG3330,CG8441,CG31324,CG34291
arg,CG15225,CG13557,ATPCL,Caper,Edem2,CG9522,CG42374,CG34176,CG15711,Cap-D3,CG7974,CG33465,CG8569,CG31709,CG34443
arm,CG15252,CG13590,ATPsynF,Cat,fd96Cb,CG9629,CG42402,CG34205,CG15719,Caper,CG7985,CG33506,CG8712,CG31712,CG3520
armi,CG15263,CG13653,ATPsynG,cathD,fzy,CG9850,CG4282,CG34323,CG15764,Capr,CG8067,CG33640,CG9072,CG31803,CG3526
Arp2,CG15332,CG13670,ATPsyngamma,Catsup,Gadd45,CG9899,CG4313,CG34337,CG15812,capt,CG8078,CG33775,CG9452,CG31909,CG3699
Arp5,CG15357,CG13712,Atxn7,CCAP-R,GEFmeso,CG9967,CG43400,CG34424,CG15873,Cat,CG8360,CG33934,CG9515,CG31960,CG3902
Arp53D,CG15369,CG13713,aurB,Ccp84Ac,gek,Cht7,CG5149,CG3526,CG15892,Catsup,CG8852,CG34040,CG9536,CG31988,CG4045
Arpc1,CG15478,CG13877,aust,Ccp84Ad,Glo1,Cpr49Ac,CG5290,CG3528,CG15919,cbt,CG9095,CG34124,cin,CG32568,CG42306
Arpc4,CG15539,CG13921,Aven,Ccp84Ae,Gmer,Cyp28a5,CG5447,CG3663,CG16739,Ccp84Ad,CG9411,CG34176,Cks30A,CG3257,CG4259
Arpc5,CG15564,CG13926,awd,Ccp84Af,Gr28b,Cyp6t3,CG5697,CG42534,CG16782,Ccs,CG9452,CG34205,cmpy,CG32641,CG42700
arr,CG15571,CG13930,Axn,Ccs,Gr63a,d,CG6115,CG42674,CG16853,Cctgamma,CG9507,CG34312,COQ7,CG32718,CG42823
Arr1,CG15594,CG13983,b,Cctgamma,Grasp65,dac,CG6412,CG44271,CG17167,CD98hc,CG9522,CG34337,COX8,CG32816,CG4313
Art2,CG15629,CG1402,B-H1,Cda5,hui,DCP1,CG7028,CG4646,CG17266,Cda5,CG9752,CG34424,Cpr11B,CG32834,CG43400
Arv1,CG15650,CG14052,babos,Cda9,Ih,Def,CG7130,CG4744,CG17283,Cdk7,CG9899,CG3491,Cpr31A,CG32944,CG44242
ase,CG15653,CG14069,baf,Cdlc2,Ir21a,Dim1,CG7166,CG4972,CG17287,Cdlc2,Chi,CG3526,Cpr49Aa,CG33465,CG4968
asf1,CG15712,CG14103,ball,CecB,isoQC,disco-r,CG7220,CG5254,CG17344,cdm,ChLD3,CG40485,Cpr49Ac,CG33640,CG5255
ash1,CG16813,CG14317,Bap111,cep290,kune,Drsl5,CG7227,CG5565,CG17385,CecB,Cpr49Ac,CG42784,Cpr64Aa,CG33934,CG5290
Ask1,CG16815,CG14323,Bap55,cer,l(2)35Be,ds,CG7492,CG5755,CG17580,ced-6,Cpr76Bc,CG4318,CSN1a,CG34011,CG5646
AsnRS,CG16865,CG14325,Bap60,CG10029,mei-W68,Dscam1,CG7685,CG5793,CG17737,CenG1A,Cyp6t3,CG43331,Cyp28c1,CG34124,CG5755
AsnRS-m,CG16884,CG14326,bark,CG10031,MFS3,ec,CG7708,CG5853,CG18128,cer,d,CG43400,d,CG34176,CG5793
Asph,CG1701,CG14353,baz,CG10051,miple2,elm,CG7747,CG5987,CG18269,CG10026,DCTN3-p24,CG4646,dgt5,CG34291,CG5987
AspRS,CG17047,CG14406,bbc,CG10064,MME1,ex,CG7829,CG6154,CG18371,CG10077,dgo,CG4661,DptB,CG34443,CG6425
asrij,CG17127,CG14416,bcd,CG10096,mthl3,exp,CG7879,CG6324,CG18446,CG10096,DIP-gamma,CG4972,Drsl6,CG3687,CG6903
ast,CG17193,CG14420,bchs,CG10098,Myo28B1,fd96Cb,CG8560,CG6843,CG18585,CG10103,disco-r,CG5103,ECSIT,CG4045,CG6967
AstA-R2,CG17233,CG14427,bdg,CG10103,nAChRalpha5,fw,CG9147,CG6852,CG18605,CG10132,EcR,CG5565,eIF2D,CG4053,CG7166
AstC-R1,CG17290,CG14451,BEAF-32,CG10131,NC2beta,fz3,CG9344,CG6927,CG1924,CG10166,eIF2B-gamma,CG6154,EndoB,CG4259,CG7708
AstCC,CG17386,CG14478,beat-IIa,CG10166,niki,GluRIIB,CG9411,CG7166,CG1943,CG10189,Fem-1,CG6324,Etl1,CG4661,CG7745
Ate1,CG17572,CG14492,beat-IIIb,CG10194,Nle,Gmer,CG9413,CG7509,CG1999,CG10194,Femcoat,CG6424,Ets65A,CG4709,CG7985
Atet,CG17737,CG14516,beat-IIIc,CG10202,Nnf1a,goe,CG9522,CG7943,CG2209,CG10211,Fibp,CG6462,FKBP59,CG4744,CG9173
Atg10,CG17917,CG14568,beat-VII,CG10211,nompA,Gos28,CheA7a,CG8046,CG2217,CG10283,Galphao,CG6550,ftz-f1,CG4789,CG9344
Atg16,CG17919,CG14625,Bem46,CG10226,opa,gprs,chinmo,CG8207,CG2528,CG10306,gek,CG6927,GAA1,CG4951,CG9515
Atg2,CG18155,CG14626,Best2,CG10298,Or63a,Gr43a,CkIIbeta,CG8712,CG2574,CG10347,Gmer,CG7024,Ggamma1,CG5071,CheB93b
Atg3,CG18231,CG14752,Bet1,CG10306,Orcokinin,Gr77a,ClC-b,CG8785,CG30037,CG10366,goe,CG7601,Gr43a,CG5142,Cisd2
Atg7,CG1827,CG14760,Bet5,CG10317,Osi8,grh,Cortactin,CG8910,CG30054,CG10425,Gos28,CG7685,Gr77a,CG5290,cmpy
Atg8a,CG18284,CG14780,beta4GalNAcTB,CG10321,park,grnd,Cpr49Ac,CG8918,CG30095,CG10459,Gr28b,CG8046,Grip,CG5447,COQ7
Atg8b,CG18672,CG14882,betaggt-I,CG10345,Pcp,GstE3,Cpr57A,CG9072,CG30098,CG10467,Gr43a,CG8197,gsb,CG5532,COX8
Atg9,CG1902,CG14913,betaggt-II,CG10347,PHGPx,GstE6,Cpr76Bc,CG9368,CG30273,CG10469,Gr5a,CG8207,GstE3,CG5599,Cpr31A
atk,CG2046,CG14958,betaNACtes6,CG10352,PI31,H15,CSN4,CG9548,CG30275,CG10477,Gr77a,CG8712,heix,CG5646,Cpr49Ac
atms,CG2909,CG14963,betaTub56D,CG10413,Pka-R2,HBS1,Cyp310a1,COX6AL,CG30338,CG10527,Gs1,CG8785,Hey,CG5819,Cpr76Bc
ATP7,CG30033,CG14990,BG642312,CG10424,Pof,Ir21a,cyp33,COX8,CG30392,CG10561,GstE3,CG8834,HHEX,CG5909,CRIF
Atpalpha,CG30046,CG15014,Bgb,CG10425,pre-mod(mdg4)-Y,kek3,Cyp4d14,Cpr47Ee,CG30432,CG10576,GstE6,CG9072,JhI-1,CG6115,Cyp28c1
ATPCL,CG30054,CG15020,bic,CG10463,Prosbeta5,Klp64D,Cyp4d2,Cpr49Aa,CG31029,CG10621,GstE9,CG9095,kek3,CG6431,Cyp4ac1
ATPsynC,CG30080,CG15116,bin3,CG10467,RabX4,kug,Der-1,Cpr49Ab,CG31077,CG10623,Gyc32E,CG9531,Lhr,CG6852,Cyp4d2
ATPsynCF6L,CG30338,CG15117,blw,CG10469,reb,Lhr,Dhc93AB,Cpr64Aa,CG31091,CG10650,H15,CG9752,Lim3,CG6903,Cyp6g2
ATPsyndelta,CG30355,CG15213,bnk,CG10477,robo1,MED20,Dpy-30L1,CSN7,CG3121,CG10700,ham,CG9861,lin,CG6967,d
ATPsynF,CG30413,CG15225,boca,CG10479,Rpb5,mei-W68,dsb,Cyp28c1,CG31235,CG10761,Hr3,CG9863,LS2,CG7024,dgt5
ATPsynG,CG30441,CG15252,BOD1,CG10486,RpL29,Met,dUTPase,d,CG31286,CG1077,Hs3st-A,cmpy,Lst8,CG7166,disco-r
ATPsyngamma,CG31088,CG15357,bora,CG10510,RpS15Aa,Muc55B,Dyb,dbe,CG31473,CG10801,Ih,corolla,mag,CG7227,DNApol-alpha180
ATPsynGL,CG31131,CG15387,borr,CG10513,RpS28a,nAChRalpha5,e(y)2b,DCTN6-p27,CG31493,CG10802,Imp,COX8,mei-218,CG7708,DNApol-epsilon58
AttD,CG31207,CG15539,bou,CG10527,rtet,Nckx30C,Eglp2,dj-1beta,CG31650,CG10803,ItgaPS4,Cpr31A,mei-P22,CG7747,Dro
Atx-1,CG31235,CG15564,Br140,CG10550,RYa-R,Neurochondrin,emc,Drsl6,CG31709,CG10863,jim,Cpr47Ee,MFS15,CG8560,Dyb
Atxn7,CG31268,CG15570,brat,CG10560,Sec24AB,niki,ena,ds,CG31740,CG10866,kek3,Cpr49Aa,mRpL42,CG8646,ECSIT
aurB,CG31418,CG15594,Brf,CG10561,Shawl,NimC2,Fas1,E23,CG31820,CG10912,mei-W68,Cpr51A,mRpL50,CG9068,eIF2B-gamma
Aven,CG31496,CG15650,Brms1,CG10565,Sld5,Nlg1,fd96Cb,EfSec,CG31910,CG10916,Met,Cpr76Bc,mRpS6,CG9344,EndoB
awd,CG31560,CG15712,Bruce,CG10576,SmF,nompA,Fem-1,eIF2D,CG31960,CG10920,mge,Cyp28c1,Mtap,CG9411,Etl1
Awh,CG31609,CG16721,bsf,CG10591,sro,Ogg1,Femcoat,Ets65A,CG31988,CG10924,miple2,d,Muc55B,CG9702,Ets65A
Axn,CG31612,CG16812,Btk29A,CG10623,sut4,Or63a,Fibp,FASN1,CG32459,CG10932,Mipp2,DIP-zeta,Nckx30C,Cks30A,Ets98B
b,CG31677,CG16813,btv,CG10650,tara,par-6,fln,fd96Cb,CG3251,CG10939,MME1,dlt,NetB,ClC-b,FLASH
